question_id,reasons,stem
q015611-e93bf613,option_bleed,"Selling price of each plain books and lined books sold by store B is Rs. 250 and Rs. 175 respectively. Then, find the total amount earned by store B on selling "
q015612-95a768d3,fraction_flattened|text_garbled|option_bleed,Male participant in January is 20% more than that in February. Female participant in February is what percent of that in January.
q015613-21bc2f94,text_garbled|option_bleed,Male and female child participant in March is in ratio 2 : 1. If adult male to adult female ratio is 4 : 3 then find the percentage of adult male participant in
q015615-9f5db910,text_garbled|option_bleed,No. of participant increase in April by 20% from previous month. Find the percentage increase in female participant.
q015616-1c0e9f81,text_garbled|option_bleed,If number of participants in every month is 500. Then find average number of male participants in all five months.
q015617-df46240c,fraction_flattened|text_garbled|option_bleed,Percent increase in population of city D from year 2007 to year 2017 is what percent less than percent increase in population of city A from year 2007 to year 2
q015618-a4a8f8d0,text_garbled,"Final average population of cities B, C, D and A in year 2017 ?"
q015619-0ef630d3,stem_truncated,Find difference between the total population of cities A and D in year 2017 and total population of cities B and C in 2007? 1500 Questions E -Book for
q015621-c096a1b8,fraction_flattened|option_bleed,Population of city D in 2017 is what percent of population of city E in 2007?
q015622-7de147bc,text_garbled|option_bleed|chart_missing,List price per kg of wheat is what percent less than the list price per kg of tea if selling price of 2.5 kg of tea is 900 Rs. and discount offered on list pric
q015623-a4861a9f,stem_truncated|fraction_flattened|option_bleed,What is the ratio of percentage discount offered on wheat to the percentage discount offered on rice if shopkeeper gains 1330 Rs. on selling whole quantity of w
q015624-77d171cb,fraction_flattened|text_garbled|option_bleed,Sedan cars in bad condition is what percent of sum of ford cars in good condition and Audi cars in bad condition?
q015625-abec0ae5,stem_truncated|fraction_flattened,If total cars of Maruti company increases by 14 7% and percentage of cars in good condition remains same then find the 1500 Questions E -Book for
q015626-93f643a2,fraction_flattened|text_garbled,What is ratio of cars in good condition of Ford brand to the cars in bad condition of Honda brand?
q015627-4ac0a3d9,text_garbled|option_bleed,"What is the average of cars in bad condition of brand sedan, Ford and Audi together? ā"
q015628-d8fcc361,option_bleed,Cars of brand Maruti and sedan in bad condition together are how much more than cars in bad condition of brand Honda and Ford together? ā
q015629-d315741d,stem_truncated|option_bleed,What is the ratio of total sales of company B in 2012 and that of company A in 2014 together to the total sales of company A in 2011 and that of company B in 20
q015630-bbf42cdc,option_bleed,What is the difference between the sales of company A in 2016 and that of company B in 2016 if the sales of company A and B increase by 20% and 10% respectively
q015631-994c3cef,text_garbled,The total sales of both companies in 2015 is what percent more than the total sales of both the companies in 2011?
q015632-127a11a1,option_bleed,Find the difference between the total sales of company A from 2012 to 2014 and that of company B from 2013 to 2015?
q015633-e2e17316,text_garbled|option_bleed,"If the sales of company A increases by 33.33% in 2011 over its sales in 2010, then find the percent increase in the sales of company A in 2015 with respect to t"
q015634-f9ff448f,stem_truncated|option_bleed,Total number of male voters from district A and B together are how much more/less than total number of female voters from district E and D together? A
q015635-c055469d,text_garbled|option_bleed,"The average of total voters from district B, C and D together are approximately what percent less/more than the no. of male of voters from districts D, E and F "
q015636-59d9511d,option_bleed,"Find the ratio of the male voters from district D and E together to the female voters from district C, E and F together? D"
q015637-251af0c9,text_garbled|option_bleed,The no. of female voters from district F is what percent more/less than the no. of male voters from district A? (Rounded off to nearest integer)
q015638-0c4ac232,option_bleed,Find the ratio of no. of male voters from districts B and E together to the no. of female voters from districts C and A together? B
q015698-1fd48848,text_garbled|option_bleed,"On Monday, train ‘A’ takes 2.5 hours more to cover 900 km distance than train ‘C’. If train ‘A’ can cross a platform of length 128 in 12.8 seconds on Tuesday th"
q015699-c76edcbf,text_garbled|option_bleed,Ratio between speed of train ‘E’ to train ‘F” on Monday is 3 : 2. On Tuesday train ‘E’ cross train ‘F’ running in same direction in 24 seconds then find the tim
q015700-a2886b9f,text_garbled|option_bleed,Ratio between time taken by train ‘B’ to train ‘D’ to cross a pole on Monday is 1 : 1. The time taken by train ‘B’ to cross a pole on Wednesday is what percent 
q015704-6066443a,option_bleed,If population of city K is 180000 then find the female population of city L.
q015706-27f80899,fraction_flattened|text_garbled|option_bleed,Females of city K is what percent of the males of city M.
q015707-d5db9e62,text_garbled|option_bleed,If male population of city L is 1 lakh then find that female population of city M is what percent of the male population of city K.
q015708-d1a9760b,stem_truncated|text_garbled|option_bleed,"Lender A, lends some amount at S.I for 3 years and another amount, which is 1500 more than the previous one, at C.I for 2 years. Each sum earns equal amount. Fi"
q015709-2cc03715,text_garbled|option_bleed|chart_missing,Lender C lends a sum for 2 years at S.I then after 2 year he re- lend the total amount for 2 years at C.I. and earn a total profit which is 45.2% of sum invest 
q015710-b8654a43,chart_missing,"Gaurav, Abhishek and Neeraj work in a rotation to complete the job on Tuesday with only 1 person working in a minute. Who should start the job so that the job i"
q015711-6d6ab4e8,text_garbled|option_duplicate|option_bleed|chart_missing,"On Tuesday, Gaurav and Arunoday started the work and they worked for 5 minutes then Gaurav is replaced by Abhishek. In how many minutes Abhishek and Arunoday co"
q015713-7d0afcce,text_garbled|option_duplicate|option_bleed|chart_missing,"On Tuesday, Aman who is half as efficient as Shailesh, worked for 50 minutes on the same day then he left. In how many minutes Neeraj and Abhishek together will"
q015714-77d870c4,fraction_flattened|text_garbled|option_bleed|chart_missing,"If distance travelled on Tuesday by Shyam is 45 11% more than the distance travelled by meena on Tuesday, then find the ratio of speed of Shyam on Monday to spe"
q015715-9056f63d,chart_missing,"If Ram and Tinku are 600 km apart and they start moving towards each other with the speed of Tuesday, then they meet after 4 hours. If Ram covered 300 km on Mon"
q015716-8810271f,fraction_flattened|text_garbled|option_bleed|chart_missing,Time taken by Tina on Monday is what percent more or less than time taken by Meena on Monday.
q015718-beb061a0,option_bleed,What is the sum of profit of A and C together? If investment of A and C together is 215% of Investment of B and investment of A is 28% less than investment of C
q015719-ba3801c3,fraction_flattened,What is the total profit of all 5 person if profit percentage of E is 50% more than profit % of D.
q015720-9628fb33,text_garbled|option_bleed,What is the total investment of C and E if E invested for one month more than C and ratio between? the time taken by both i.e. C and E is 8 : 9.
q015732-98dd3c90,option_bleed,What is the monthly income of A in the month of November? Statement I: The difference between monthly savings of A in November and April is 20% of A’s monthly i
q015734-6b180de8,option_bleed,"If D spends 30% of monthly income in November in mutual funds, then find the amount spend by D in November in mutual funds Statement I: D’s income in November i"
q015779-0c6e3e0c,option_bleed,"If total watches sold in February is 3300, then find average number of watches sold in last six months of year 2017?"
q015780-efb1c636,option_bleed,"If ratio between watches sold in first six months to last six months is 2 : 3, then find watches sold in April are how much more than watches sold in march, May"
q015781-1bd7496d,fraction_flattened,"In 2018, total number of watches sold are 10% more than total 1 watches sold in 2017. Find watches sold in June 2018 if 33 3% of total watches sold in 2018 is s"
q015782-38fbf8f6,fraction_flattened|option_bleed,"If watches sold in May 2017 were 3 3% of total watches sold in 2017, then find total number of watches sold in last six months of 2017?"
q015783-c9a3534f,fraction_flattened|option_bleed,Watches sold in February 2017 were 3000 more than watches sold in January 2017. Total number of watches sold in last six months of 2017 is what percent of total
q015784-57d85b36,fraction_flattened|text_garbled|option_bleed,"If number of TV sold by big Bazar on Sunday is increased by 1 2% then what will be the average no. of TV sold on Sunday, 37 Tuesday and Thursday by Big Bazar. 1"
q015785-d1c0c05e,option_bleed,from Apna Bazar on same day are Indian. Then find the Indian TV buyer percentage on Tuesday considering both the stores together. (Note: 1 buyer buys only 1 TV)
q015786-3ce41bc0,option_bleed,If one Friday 25% more TV were sold than that on Thursday by both stores together but 5% was returned due to damaged TV. How many undamaged TV were sold by both
q015788-e6fd8b42,text_garbled|option_bleed,Find the ratio of Total TV sold by Big Bazar on Monday and Tuesday together to TV sold by Apna Bazar on Tuesday and Wednesday together.
q015789-77825da1,text_garbled|option_bleed,Find the ratio of male students in computer and IT department together to male students in civil and electrical department together.
q015790-57393865,text_garbled|option_bleed,Boys studying in civil are how much percent more/less than girls studying in same department.
q015791-bc5f9b8b,option_bleed,"Find the average of boys studying in computer, electrical and civil department together?"
q015792-068b3194,option_bleed,Find the difference of boys studying in mechanical department and boys studying in civil department?
q015793-0ba4d072,fraction_flattened,Boys studying in computer and IT department together are what percent of total students in these department?
q015795-e18ba611,fraction_flattened|text_garbled|option_bleed,If total population of state was 80000 in 2017 then total population of city D was how much percent more than female population of city B.
q015796-811e9b1f,option_bleed,"If total population of state in 2017 is 250000 then find the average female population of city A, C and E in 2017."
q015798-100e429f,text_garbled|option_bleed,Find the ratio of male population of city B and city D together to female population of city E and city C together.
q015799-a081f0dc,text_garbled|option_bleed,If difference between number of persons who like apple to persons who like banana in city A is 51 while average number of persons who like mango and apple in ci
q015800-6599fb2e,option_bleed,"Final the total number of persons in city D. If total number of persons is city D is 200% more than that of in city C, while difference between number of person"
q015801-ade926c7,stem_truncated,Find the total number of persons in city E who like apple if difference between number of persons who like apple and mango 1500 Questions E -Book for
q015802-1ec43d1b,text_garbled|option_bleed,If difference between number of persons who like apple in city D to person who like mango in city E is 2100 while sum of number of persons who like mango in cit
q015803-a1c7fb89,option_bleed,"Find total number of persons in city B, if ratio of number of persons in city A to city B is 2: 3 and total number of persons in city A & city B together who li"
q015804-529baebf,text_garbled|option_bleed,"If total number of flowers in garden ‘B’ is 60% more than that of total number of flowers in garden ‘A’, then find percentage of lily in both gardens ‘A’ & ‘B’ "
q015806-94e4a5d6,option_bleed,"If total number of flowers in garden ‘A’ is 40% more than that of in garden ‘B’ and total number of dahlias in garden ‘A’ & ‘B’ together is 384, then find the t"
q015807-b6330c8a,fraction_flattened,"If ratio between total number of flower in garden ‘A’ & garden ‘B’ is 3 : 4, then what is the percentage of total sunflower in garden ‘A’ & garden ‘B’ together "
q015808-cb81d155,option_bleed,"Total flower in garden ‘B’ is 80% more than total flower in garden ‘A’ and total lily in both gardens is 840, then find difference between total marigold in gar"
q015812-4c6f02fe,stem_truncated|option_bleed,"Out of total pens sold on Thursday, 20% are blue ink pen. Out of remaining 25% are red ink pen and remaining are black in pen, find total number of blue and bla"
q015813-826b1fe9,option_bleed,Out of total pens sold on Tuesday ratio between total defective pens sold to total pens sold is 7: 15. Find total number of non- defective pens sold on Tuesday 
q015814-5f52a11e,option_bleed,Find the ratio between total number of workers in company A and C together to total number of officers in company A and C together?
q015815-d55fa45c,option_bleed,Total number of employees in company ‘B’ is how much more than total number of employees in company ‘C’
q015816-2487f30b,option_bleed,Total number of officers is company ‘A’ is how much less than total number of officers in company ‘B’?
q015817-03075f93,option_bleed,Total number of officers and workers in company D is 50% and 25% more than total number of officers and workers in company ‘C’ respectively. Find total number o
q015818-d386e4a8,option_bleed,Find the difference between total number of workers in company ‘A’ and total number of workers in company ‘B’ and ‘C’ together?
q015819-cb947098,fraction_flattened|option_bleed,In accepted application by college A 33 3% are applied by females. Then accepted application applied by male in college A is what percent of total accepted appl
q015820-72e06f08,fraction_flattened|text_garbled|option_bleed,Find the average number of accepted applications by all these 4 colleges.
q015821-aa1c50e9,option_bleed,Among accepted application by college B and C the ratio of male to female applicant are 10: 11 and 8: 9 respectively. Then find the ratio of accepted applicatio
q015822-a81ab4ee,stem_truncated|text_garbled,Rejected applications by college C is what percent of rejected application by college B and D together. For
q015823-2f4c7c46,option_bleed,Find difference of rejected application by college B and College D
q015824-4d146375,fraction_flattened|option_bleed,Female Population of state D is what % of the male population of state B.
q015827-5b9934d1,text_garbled|option_bleed,What is the average of the female population of state B and total population of state C.
q015828-29a96417,option_bleed,"What is the sum of the female population of states A, C and D?"
q015830-6019c48b,text_garbled,The ratio between total members of both gymnasium in 1991 to total members in 1994 of both gymnasium is
q015833-5b8687e2,text_garbled|option_bleed,Total members enrolled in gymnasium B in 1993 and 1994 together is what % more than members enrolled in gymnasium A in 1990 and 1994 together?
q015834-b968d085,option_bleed,"Average number of women working in 2014, 2015 and 2016 together is how much more/less than average number of men working in 2011, 2014 and 2016 together? 2014, "
q015835-5308002d,option_bleed,Number of men working in 2017 is 15% more than that of 2015 while number of women working in 2017 is 40% less than that of 2017. Find total number of labors (me
q015836-00c47958,text_garbled,Find the ratio between total number of Labors working in 2012 and 2013 together to total number of labors working in 2015 and 2016 together? 2012
q015837-ee284838,option_bleed,Total number of men working in all six years is how much more/less than total number of women working in all six years together?
q016093-66ee0b43,option_bleed,"As per the passage, why did the President of Iran signed the agreement?"
q016155-aa3e4238,option_bleed,Double Blanks Ex. You have thanked him for his help.
q016162-704b86a0,option_bleed,……………………. Ex. The car broke down and we get a taxi.
q016597-8746384c,option_bleed,"Recently, the National Human Rights Commission (NHRC) conducted the first-ever nationwide survey"
q016598-8eb0f080,option_bleed,__________________________________ (A)/ as their currencies resume their prolonged slide against the U.S. dollar.
q016618-06750ae8,option_bleed,"(a) Regular, moderate exercise, including authentic yoga, holds the key."
q016619-fcf55a33,option_bleed|context_missing,"Within water also, more money is going to rural water, large hydropower projects, and water resource management in poorer states. Which of the following stateme"
q016804-80bff216,option_bleed,(I) It is the averse(a)/adverse(b) effect of television viewing on the lives of so many people that makes it feel like a serious addiction. (II) According to th
q016816-bb994b25,option_bleed,"______________. Down the ages, man has tried to discover life’s meaning, the purpose of living, whether there is a God or release from suffering… and to attain "
q016818-4d3205f9,option_bleed,"______________, as fashion designers have discovered to their discomfiture. The very slightest slight to the emblem invites the unwelcome attentions of the poli"
q017136-73df640a,fraction_flattened,33 11 3 % of 360 + 66 3 % of 120 =?× 7
q017145-b61afed6,stem_truncated,11 of 4312 = ? × √49 8 of 7 of
q017175-56860233,fraction_flattened,56.08% of 149.92 + √28.02 × 6.98 −11 1 9 % of 998.9 = ?
q017225-50aeb782,fraction_flattened|chart_missing,"Find the average number of students from school B, C, and D together who score less than 60% marks?"
q017226-661a8403,fraction_flattened|chart_missing,If Boys to girls ratio in school D and E are 11 : 14 and 5 : 4 respectively. Then find the ratio of total Boys in school D and E together to total girls in scho
q017227-1bd5ce31,fraction_flattened|chart_missing,Students scoring 60% marks or more than 60% from school D are how much percent more or less than students scoring 60% or more from school A and E together. 2
q017228-8f5316e8,fraction_flattened|chart_missing,If ratio of passed to failed student in school C is 7:3. Then how many students passed with less than 60% marks in school C ?
q017229-251dfe93,fraction_flattened|chart_missing,Find the ratio of student who scored less than 60% from school A and B together to students who scored 60% or above from school C and E together?
q017236-ae10bc52,fraction_flattened,"Ratio between Girls in class X to boys in class XII who attended seminar is 4 : 5 and girls in class 2 XII is 66 3 % of total strength of class, then find the n"
q017240-f45eebf9,fraction_flattened,Find ratio b/w number of invalid votes casted in village C to the number of valid votes casted in village B.
q017241-988ba7da,fraction_flattened,If the winner got 52% of valid votes in village B. Find the no. of votes got by the person who lost?
q017242-027d253f,fraction_flattened,Find the average number of valid votes of village A and village D together?
q017243-578d2a6b,fraction_flattened,Find the number of votes by which the winner won in the election if the person who lose got 40% of valid votes in village E?
q017244-91b3e516,fraction_flattened,Find how much more/less percent were the valid votes casted in village C in comparison to village A? 2
q017245-ce593f94,fraction_flattened|chart_missing,Total number of Cars sold by Companies C and D together is what percent more/less than Cars that remain unsold by Companies B and E together? (rounded off to ne
q017246-af6ffdc1,fraction_flattened|chart_missing,"66 3% of Cars sold by Company F were diesel cars and ratio between number of diesel and petrol cars manufactured in 2017 was 3 : 4, find number of petrol cars t"
q017247-cf1e8cea,fraction_flattened|chart_missing,"In 2016, total cars manufactured by six companies together is 44% less than total cars manufactured by six companies together in 2017. If ratio of total cars so"
q017248-2682c8f0,fraction_flattened|chart_missing,"Company ‘C’ gets Rs. 2 lakh profit on selling each car and suffers a loss of Rs. 80,000 on every unsold car, find overall profit of Company C in 2017?"
q017249-36ecedc8,fraction_flattened|chart_missing,"Cars manufactured by Companies B, C and F together in 2016 was 40% more than the cars manufactured in year 2017 and car sold by B, C and F together are 80% more"
q017250-1d617a0e,fraction_flattened|chart_missing,Number of cricket players in ‘L’ and ‘M’ sports Academy together is what percent of the number of Football players in ‘N’ sports Academy?
