question_id,reasons,stem
q017480-aa4b1d79,fraction_flattened,56.08% of 149.92 + √28.02 × 6.98 − 11 9 % of 998.9 = ?
q017489-8edf99bd,fraction_flattened|chart_missing,"Find the average number of students from school B, C, and D together who score less than 60% marks?"
q017490-97a5a657,fraction_flattened|chart_missing,Find the ratio of student who scored less than 60% from school A and B together to students who scored 60% or above from school C and E together?
q017494-02fa9ff4,fraction_flattened|chart_missing,"Ratio between Girls in class X to boys in class XII who attended seminar is 4 : 5 and girls in class 2 XII is 66 3 % of total strength of class, then find the n"
q017495-2ba8339f,fraction_flattened,Find ratio b/w number of invalid votes casted in village C to the number of valid votes casted in village B.
q017497-b960b147,fraction_flattened|option_duplicate|chart_missing,If boys in school RPM in 8th class is 125 then girls in 8th class are what percent of total student in same school? 2
q017498-ca4db9e5,chart_missing,If total girls in school RPM is 600 then total boys in school RPM is what percent of total student in SVM?
q017499-d2aa667c,chart_missing,What is the ratio of average number of shirts sold by A and B together in year 2014 to average number of shirts sold by same stores together year 2016.
q017500-654c4a32,fraction_flattened|chart_missing,Find the ratio between 3rd of cars sold by shop X & K together to total non-defective cars sold by shop Y & Z together?
q017501-c0167ecb,fraction_flattened|chart_missing,"If 25% of defective cars sold by shop Y are returned back to the same shop, then find total cars which are sold (defective and non-defective) by shop Y?"
q017502-bab3109f,chart_missing,Find ratio between total calls received by female in company A to total calls received by male in company B?
q017503-f0bdcb59,chart_missing,What is the discount% on article B.
q017505-97a2e0df,chart_missing,"‘Cinema’ theatre shows three movies. 25% of person watch Padmavat, 3 % of person watch padman and remaining watch ‘College Diaries’. Find the average number of "
q017506-bed14db7,option_duplicate|chart_missing,Person come to DT theatre is what percent of the person who come to Cinema theatre?
q017507-48fbf5bb,chart_missing,Find the ratio of difference between consumed food packets in city A & E to the difference between consumed food packets in the city B & D?
q017508-18bda251,chart_missing,What is the difference of the Interest paid by a borrower when he borrowed Rs 80000 from ICICI and Axis both to that from SBI and HDFC after 2 years ?
q017509-8ce30e63,chart_missing,What is the ratio of no. of questions asked from profit & loss and percentage together in shift 1 to the questions asked from profit & loss and time & work toge
q017510-a9667867,fraction_flattened|chart_missing,Total no. of questions asked from DI in shift 2 are what percent less than that of DI in shift 1? 2
q017511-6371add7,chart_missing,There is one typist per five employees in a department. Find total number of typist in all four departments together?
q017512-1edfb798,fraction_flattened,The difference of the number of male applications from city P and female applications from city R is what percent more or less than the difference of the number
q017530-474c28f1,fraction_flattened,A shopkeeper sells every item at the profit of Rs.
q017531-b76970b7,fraction_flattened,"Anurag buys an old laptop for Rs. 17500 and spends Rs. 2,500 for its repair. He is not satisfied from his laptop and sells the laptop at Rs. 22,500. Find his pr"
q017532-096a3278,fraction_flattened,The selling price of 8 articles is equal to cost price of 12 article. Find the profit percent on selling one article?
q017536-2abefbb1,fraction_flattened,A and B together can complete a piece of work in 36 days but the efficiency of B is 33 3% less than efficiency of A. Find in how many days ‘B’ alone can complet
q017549-0a09bb28,fraction_flattened,Sri invested Rs 650 more than Rimi in scheme A for the same time period and Sri got 62 2 % more profit than Rimi from that scheme. Then find the sum of amount i
