question_id,reasons,stem
q018391-98dff5b5,option_bleed,Some pundits are advising European politicians to keep a stiff upper lip and take on Trump’s challenge to take more responsibility for their own defense.
q018604-69d10323,chart_missing,The difference between the average of the rates of the sixth quarter and that of the third quarter is
q018654-4f311f8f,chart_missing,The ratio of the sum of the Repo Rates in all the given quarters to that of the Reverse Repo Rates in all the given quarters is
q019711-b2c2a877,option_bleed,"Before the introduction of deadlines and penalties, what can be stated about the regulatory environment for landlord?"
q019750-9d247f9e,option_duplicate,What can be assumed from the given statement of election result?
q019759-87cbeb8f,context_missing,"Ten persons sit in two parallel rows and face each other. In row 1: A, B, C, D and E sit and all of them face south and in row 2: P, Q, R, S ad T sit and all of"
q019797-3d8c7840,option_bleed,"The ratio of the marked price of article Q to the selling price of article P is 5:4, respectively. Find the profit (in Rs) earned after selling article P. State"
q019798-b487d3e9,option_bleed,Set P and set Q contains four consecutives odd number and four consecutives even number respectively. Find the sum of the largest numbers from both the sets. St
q019799-9c98e7c4,option_bleed,"What is the length of platform? Statement
I. Train ‘A’ can cross the platform in 20 seconds and it can cross another train ‘B’ coming from opposite direction in"
q019800-858344c7,option_bleed,"Total 24 balls are in a bag. If one ball is drawn at random from the bag, then find the probability that drawn ball is of red color? Statement
I. Probability of"
q019821-0d6bad57,chart_missing,"80% of the total officers in P work in the banking sector, and 60% of the private officers in P work in the banking sector. Find the government officers working"
q019823-9bd5689f,chart_missing,Find the difference between the total students in Amber Institute who opted for the traditional courses in 2021 and the total students in Dhara Institute who op
q019825-9c0f878b,chart_missing,Find the difference between total cost of 12 units and total advertisement cost of 18 units (in Rs). 35
q019826-4e2a71a4,option_bleed|chart_missing,"If selling price per unit is increased by 20% and gross profit remains same, then find the difference between new advertisement cost of four article and the pre"
q019829-16ec81b4,option_bleed,Priya’s age 2 years ago was thrice Anu’s age five years hence And if Priya’s age 5 years hence will be four times Anu’s age after 4 years. Find Anu is how many 
q019849-c4a74d88,stem_truncated,What is the approximate average number of
q019854-15fee322,option_bleed,What is the number of ball pens sold by C?
q019855-8b66cfff,fraction_flattened,"What is the ratio of number of ball pens to 200 more than the number of gel pens sold by number of gel pens sold by B? him, and total number of pens sold by A i"
q019890-f97d5b62,option_bleed,Sol. c) 50 40 30 20 10 0 Population in 2017 45 38 33 20 1815 A B 40 28 35 25 D E C Cities Percent increase in population of city D from year 2007 to year 2017 i
q019892-81a9849a,stem_truncated,× 100 ( )× 126 × 1000 = 31500 4 Find difference between the total population of cities A and D in year 2017 and total population of cities B and C in 2007? For
q019894-ee81513d,option_bleed,110 = 22000 100 Population of city D in 2017 is what percent of population of city E in 2007?
q019895-6757b0e2,option_bleed,List price per kg of wheat is what percent less than the list price per kg of tea if selling price of 2.5 kg of tea is 900 Rs. and discount offered on list pric
q019896-dcc88fe7,stem_truncated|option_bleed,What is the ratio of percentage discount offered on wheat to the percentage discount offered on rice if shopkeeper gains 1330 Rs. on selling whole quantity of w
q019897-1e16691b,option_bleed,Sedan cars in bad condition is what percent of sum of ford cars in good condition and Audi cars in bad condition?
q019898-b1a0dae2,stem_truncated,If total cars of Maruti company increases by 14 % and percentage of cars in good condition remains same then find the For
q019900-aa837748,stem_truncated|option_bleed,3000 2500 Sol. e) Cars in bad condition of brand sedan = 20%of 6000 =12000 Cars in bad condition of brand ford = 25%of 48000=12000 Cars in bad condition of bran
q019901-9dd21681,option_bleed,What is the difference between the sales of company A in 2016 and that of company B in 2016 if the sales of company A and B increase by 20% and 10% respectively
q019902-805316ce,option_bleed,Total sales in 2011 = 2000 + 1000 = 3000 Total sales in 2015 = 5000 + 4000 = 9000 Req% = = 200% Find the difference between the total sales of company A from 20
q019903-c719cf67,stem_truncated|option_bleed,Total number of male voters from district A and B together are how much more/less than total number of female voters from district E and D together? A
q019905-8cdc15fb,option_bleed,"Find the ratio of the male voters from district D and E together to the female voters from district C, E and F together? D"
q019906-47861f9f,option_bleed,11 Find the ratio of no. of male voters from districts B and E together to the no. of female voters from districts C and A together? B
q019908-51d2bc0f,stem_too_short|language_hindi,Sol. Required answer (
q019910-94c115a1,option_bleed|chart_missing,What is the respective ratio of total number of girls enrolled in Painting in the Institutes A and C together to those enrolled in Stitching in the Institutes D
q019911-e7636450,option_bleed|chart_missing,Number of girls from all institutes enrolled in Painting =250+225+150+175+300=1100 Number of girls from all institutes enrolled in Stitching =1200 Number of gir
q019912-b7c3a736,chart_missing,What is the total number of girls enrolled in Painting from all the Institutes together?
q019955-1efdaf91,fraction_flattened|option_bleed,"22% D Speed : Speed on Monday on Tuesday 2 : 3 3 : 4 4 : 6 4 : 4 6 : 9 4 : 5 8% E F : Speed on Wednesday : 2 : 5 : 5 : 7 : 5 : 3 On Wednesday, train ‘B’ crosses"
q019956-c4e56efb,equation_degraded,"Let speed of train ‘C’ on Monday, Tuesday and Wednesday be 4x, 6x and 5x respectively. Train ‘C’ travel 5 hours on Monday and 15 hours on Tuesday. ∴ Total dista"
q019960-049e5d39,option_bleed,Interest earned by Prakash on CI = P x [(1 + r/100)t - 1] = 2/3 x 60000 x [(1 + 6/100)2 - 1] = 40000 x 106/100 x 106/100 - 40000 = 44944 - 40000 = Rs.4944 Inter
