question_id,reasons,stem
q009650-1144a4ea,fraction_flattened|option_bleed|chart_missing,Total foreign visitors in Feb and March month together are how much more/less than total Indian visitors in month of Jan and April together.
q009651-b174d3a5,fraction_flattened|chart_missing,Foreign visitors in Feb month are what percent more or less than foreign visitors of May month. 2 2 2
q009652-5481fe4e,chart_missing,Total population of village U is what percent of total population of village T?
q009653-2f438b8c,chart_missing,What is the ratio of total females from village S and T together to the total of males from village R and U together?
q009655-87f4065a,chart_missing,If number of males in village P is equal to 17850 then what is the total number of males and females in village T and U together?
q009656-85e0d639,chart_missing,"Total females in village R is 27200 and 30% of females in village R and 20% of males in village R are not registered in voter list. In an election, votes polled"
q009657-3d4202f5,chart_missing,What is the total number of books sold by store A and B together if books sold by store A of publisher Y is 33 publisher X and Books sold by store B of publishe
q009666-ecfa32e8,fraction_flattened|chart_missing,If the illiterate female from village C decreases by literate female from same village increases by but total person (Male + female) remains same in village C i
q009668-bcf5e482,chart_missing,What is the average no. of male students preparing forRailway exam who participated in seminar throughout all the five years ?
q009670-356fea9c,stem_truncated|chart_missing,"In 2012 the A publishing house had organized the seminar in which the total no. of student participating in seminar who are preparing for bank, SSC and Railway "
q009703-3657cfcd,chart_missing,"The total income of Reliance in years 2006, 2007 and 2008 together is what percent more than the total income of Wipro for the same years ? (Calculate up to two"
q009711-16befd2f,chart_missing,"If 20% of the supply in open market in 2011 is retained and stored, then calculate the approximate percent decrease/increase in supply in open market in 2011 as"
q009712-a56144dc,chart_missing,The number of candidates who were selected after interview from commerce is what percent of number of candidates who were not selected after interview from Agri
q009713-9a0f55e5,chart_missing,"Calculate the average number of candidates who got selected after interview from Science, Engineering and Agriculture as a percentage of the number of candidate"
q009714-4bd6d824,chart_missing,The average number of candidates selected after interview from ‘others’ and Management is what percent of the number of candidates who appeared in interview fro
q009715-924aadd7,chart_missing,What percent of the total appeared candidates is the sum of the students who were selected after interview from Science and those who were not selected from oth
q009716-ec8286d9,chart_missing,"What is the ratio of students appeared in interviews from Management and those who got selected in interview from Commerce, others and Engineering together ?"
q009717-e45705d5,chart_missing,"If the ratio of girls and boys, who went to watch ‘Raabta’ from class X, was 7 : 8, then what percent of the total number of students from class X who went to w"
q009718-b7f5dc8c,chart_missing,What is the difference between the number of students from class XI who did not got to watch any movie and that of the number of students from class XII ?
q009719-78948741,chart_missing,"If all the students from class XII who did not go to watch any movie, later changed their mind and went to watch ‘Meri Pyari Bindu’, then calculate the % mark-u"
q009720-cec1e649,chart_missing,"The number of students from class XI and XII who watched Raabta is what percent of the number of students from class X who watched Begum Jaan, Half girlfriend a"
q009721-2b2957ca,fraction_flattened|chart_missing,Number of student who not go to watch movie from all the three classes is what percent of the total student. 1 7 2
q009727-c572a17e,chart_missing,"If out of the amount consumed in India, 91/11% was wasted due to bad storage, then find the difference between actual amount consumed in India and the amount ex"
q009728-1759a78d,fraction_flattened|chart_missing,"If the production in USA includes the production in Mexico and 4 production in Mexico was 44 9% of the total given production under the head ‘USA (America)’, th"
q009730-fc2c26c1,chart_missing,"If Germany and USA donate 30% of their export to financially backward countries, then what percent of their total production do these two countries donate toget"
q009731-5accb58d,chart_missing,"What is the difference between the quantity exported by Sri lanka, Japan and USA to the quantity consumed within thesecountries?"
q009732-3d9b85da,chart_missing,"Difference between the total number of teachers in university A, university B and university C together and the total number of teachers in university D, univer"
q009733-9cb620ad,chart_missing,Number of female teachers in university D is approximately what per cent of the total number of male teachers in university B together ?
q009734-348adce0,chart_missing,Total number of male teachers from university B and C together are what percent more/less than the total number of female teachers from university D and E toget
q009736-8b624551,chart_missing,What is the ratio of the male Engineers and male designers together to the same occupation female professionals together in the town?
q009737-c3f39401,chart_missing,The total number of lawyers in town is approximately what percent of the total number of doctors in town?
q009738-01dd84b4,chart_missing,What is the difference between the total number of male and female professionals in the town?
q009739-2ce678f0,chart_missing,Female Doctors are what percent of the female teachers in the town?
q009740-bfc3d390,chart_missing,What is the ratio of the number of male architects to the number of male teachers in the town?
q009765-d230dcb3,chart_missing,What is the average speed of car for the duration 3rd and 4thhours?
q009768-1cf69e6e,option_bleed|chart_missing,"If the car travels another 28 kms in 4 hours after the fifth hour, then what is the ratio of average speed of car for 4th to 8th hour to that of 6th to 9th hour"
q009770-0984c56e,chart_missing,Selling price of article C is Rs.528 and the marked prices of articles C and E are the same. What is the average selling price of both the articles?
q009772-eb610dbd,option_bleed|chart_missing,"If the cost price of article E is double to that of article A, the marked price of article E is how much percent more than that of article A?"
q009776-fd19889c,option_bleed|chart_missing,With the intention of cheating a shopkeeper sells mixture of vessel-D showing that he is taking only 4% profit over cost price. Find his actual profit. If he pr
q009778-17756639,chart_missing,What will be the final ratio of milk and water if all the vessels are poured into the bigger vessel except from vessel C only 50% of mixture is taken out
q009779-8b8b6805,option_bleed|chart_missing,"Find profit% after selling mixture at cost price from vessel B, C and D together. If one proffesses to sell pure milk and cost price is due to milk only (approx"
q009783-0b8d2642,option_duplicate|option_bleed,"On Thursday, A was supposed to complete the task in time. Due to illness, he stopped when only one-third of the task was complete. Half of the remaining work wa"
q009785-51142402,option_bleed|chart_missing,What is difference between the average speed of A on day one and day two together to the average of speed of F on Day one and Day two together? (in km/hr)
q009786-4c62b77d,chart_missing,Which of the following vehicles travelled at the same speed on both the days?
q009787-3108e9b8,option_bleed|chart_missing,What is the ratio of average speed of vehicle D on day one and day two together to the average speed of vehicle E on day one and day two together?
q009788-40270015,chart_missing,Which vehicle have maximum speed on day two?
q009789-1231e2e6,chart_missing,"The distance travelled on day two by vehicle A, D and F is what percent more than that of the distance travelled on day one by vehicle A and D?"
q009790-29a720ef,chart_missing,"If Ashfaq started digging alone and was coordinated by Mayank and Jatin respectively on alternate days from next day, find the number of days taken by them to c"
q009792-9d103e63,chart_missing,What is the difference in the number of days taken by Rakesh and Mayank together for seeding and that of by Faisal and Jatin together for watering? 3
q009794-34fecf3d,chart_missing,"Mayank, Faisal and Rakesh together started ploughing while at the same time Jatin, Lokesh and Ashfaq started watering. What is the time difference in the comple"
q009795-6d38130f,chart_missing,"If Neeraj and Abhimanyu started working and after 2 days they were replaced by Charu, Anshul and Nipa and then they worked for 2 days together. How much work is"
q009798-779732ae,option_bleed|chart_missing,"How many days will it take to complete the work if saurabh does the 25% of the work alone, 10% is done by Gopal alone, the remaining work is done by Sonakshi an"
q009799-95b1e08c,option_bleed|chart_missing,Prashant started working alone but after 5 days of working he found that he has done only 25% work so to complete the remaining work on time he was expected to 
q009801-ce3aeff6,chart_missing,Find the cost of painting 630 conical blocks of given dimension provided that only the curved surface area is to be painted at Rs. 5 per m2. (approx.)
q009802-44590c3f,option_bleed|chart_missing,Find the total number of cubical blocks of given dimension required to raise the water level to the brim of a cylindrical container having dimensions 10 times t
