question_id,reasons,stem
q020597-7a442964,option_bleed,Four of the following five are alike in a certain way based on the arrangement and hence form a group. Find the one who doesn’t belong to that group?
q020599-93dcd01c,option_bleed,"If Y is 3km east of T, then what is the direction of Y with respect to V?"
q020766-5f6df84b,stem_truncated|option_bleed,"Find the wrong number in the series: 360, 354, 347, 322, 273, 152 (a) 152 (b) 322 (c) 347 (d) 354 (e) 360 21.Ans (d) 22.(Ans a) 1500 Questions E -Book for"
q020771-ac06b80b,option_bleed,"515, 525, 548, 581, 625, 680, 746"
q021109-2caf9583,option_bleed,Most of pre-poll surveys show that in this dection congress led UPA alliance will get maximum of 100 seats. Which of the following is the best reason for the ab
q021122-1f621649,option_duplicate,Fresh data from china has confirmed its economy is continuing to lose steam. what will be the possible effect of above statement? (1) The china currency will be
q021129-2752387a,option_bleed,"The government will buy 15,000 tonnes of onion from farmers to create a buffer stock to be utilised for market intervention in the event of price rise during a "
q021964-ba6be9ac,option_bleed,Which of the following statement justifies the stand taken by Apple?
q021969-ea95f8a1,option_bleed|context_missing,Which statement weakens the above argument?
q021974-2b4f1655,option_bleed,Which of the following is probably true inference?
q021979-2829163a,option_bleed,Which of the following in definitely false inference?
q021983-5887ce38,context_missing,Which statement strengthens the above argument?
q022793-b020e775,option_bleed,Which of the following condition shows that patient will not be admitted in hospital?
q023240-1d93f397,fraction_flattened,"If company E has 16 3% more spare parts than company D and out of these 13% are imported and rest are manufactured, then find the refurbished spare parts of E. "
q023313-c6149a67,chart_missing,Find the ratio of male population of C to the female population of D?
q023314-3781ba26,chart_missing,"If m+x-?=y, then find the value of question marks (?). (All the value are in percentage)"
